Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Benartefa],Price [Benartefa],In stock [Benartefa],Low stock [Benartefa]
SIDIA-HBL-90-ML-MAWAR-102162,20322,SIDIA-HBL-90-ML-MAWAR-102162,Non food,,N,,,,,,,1540,8998866102162,,,Y,Y,1800,1.000,
SIDIA-HBL-MANGIR-105538,20323,SIDIA-HBL-MANGIR-105538,Non food,,N,,,,,,,1540,8998866105538,,,Y,Y,1800,0.000,
silver-q-33-cashew,11628,SILVER-Q-33-CASHEW,food,<p>SILVER Q 33 CASHEW</p>,N,,,,,,,6815,8991001111289,,,Y,Y,7300,10.000,
SINTREN-TEH-B,14034,SINTREN-TEH-B,food,,N,,,,,,,6320,8994290101160,,,Y,Y,6900,1.000,
SINTREN-TEH-K,14029,SINTREN-TEH-K,food,,N,,,,,,,3160,8994290101153,,,Y,Y,3500,0.000,
SLIM-BLP-@12,31026,SLIM-BLP-@12,atk,,N,,,,,,,1100,M000033402,,,Y,Y,1200,35.000,
SMAX-14-RING-KEJU,11118,SMAX-14-RING-KEJU,food,,N,,,,,,,1070,8993004785139,,,Y,Y,1200,3.000,
SNOW-BLP-V-5-HT,31027,SNOW-BLP-V-5-HT,atk,,N,,,,,,,3500,M000004021,,,Y,Y,3900,17.000,
SNOW-MARKING-INK-HT,34017,SNOW-MARKING-INK-HT,atk,,N,,,,,,,12500,M0046706,,,Y,Y,13800,2.000,
SNOW-SPIDOL-BG-12-BR-T,34018,SNOW-SPIDOL-BG-12-BR-T,atk,,N,,,,,,,9000,M0048759,,,Y,Y,9900,12.000,
SNOW-SPIDOL-BG-12-MRH,34019,SNOW-SPIDOL-BG-12-MRH,atk,,N,,,,,,,9000,M0048760,,,Y,Y,9900,12.000,
SNOW-SPIDOL-G-12-BR,34031,SNOW-SPIDOL-G-12-BR,atk,,N,,,,,,,8000,M0047227,,,Y,Y,8800,9.000,
SNOW-SPIDOL-PW-1A-BR,34020,SNOW-SPIDOL-PW-1A-BR,atk,,N,,,,,,,1500,M0049079,,,Y,Y,1700,12.000,
SNOW-SPIDOL-PW-1A-HTM/12,34021,SNOW-SPIDOL-PW-1A-HTM/12,atk,,N,,,,,,,1500,M0048693,,,Y,Y,1700,12.000,
SNOW-WB-INK-HT,34022,SNOW-WB-INK-HT,atk,,N,,,,,,,19500,M0046704,,,Y,Y,21500,3.000,
soba-mie-prem-21-chicken-bbq,11124,SOBA-MIE-PREM-21-CHICKEN-BBQ,food,,N,,,,,,,1290,8886013338604,,,Y,Y,1500,17.000,
soba-mie-prem-21gr-balado,11125,SOBA-MIE-PREM-21GR-BALADO,food,,N,,,,,,,1290,8886013304609,,,Y,Y,1500,12.000,
SOFFEL-SACH-APEL-6GR,22814,SOFFEL-SACH-APEL-6GR,Non food,,N,,,,,,,2840,8992772031011,,,Y,Y,3200,5.000,
SOFFELL-8-KULIT-JERUK-HANGER,22815,SOFFELL-8-KULIT-JERUK-HANGER,Non food,,N,,,,,,,2840,8992772311014,,,Y,Y,3200,2.000,
